ano,tipoProposicao,numero,ementa,tipo_veto,tipo_veto_conflito,resultado_rotulo,resultado_fonte,pergunta_invertida,data_votacao,votacao_materia,votos_sim,votos_nao,abstencoes,fonte,na_janela_de_coleta,documento_id
2022,Projeto de Lei,2539,"Abre crédito suplementar à Lei Orçamentária Anual do Distrito Federal no valor de R$ 504.897.965,00.",indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,sim,
2022,Projeto de Lei,2544,"Estabelece a obrigatoriedade de se fazer constar nos editais de licitação pública para contratação de empresas que irão operar no serviço de transporte público básico indireto – modo rodoviário -  a oferta de plano de saúde aos rodoviários, compreendo motoristas e cobradores.",total,nao,REJEITADA,painel_resultado_rotulo,nao,2024-02-20,BLOCO VETOS 20.02.2024,0,34,0,ambas,sim,83522
2022,Projeto de Lei,2553,"Abre crédito suplementar à Lei Orçamentária Anual do Distrito Federal no valor de R$ 68.444.037,00.",parcial,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,ambas,sim,45454
2022,Projeto de Lei,2557,"Abre crédito especial à Lei Orçamentária Anual do Distrito Federal no valor de R$ 39.599.150,00.",indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,sim,
2022,Projeto de Lei,2558,"Altera as Leis n° 6.468, de 27 de dezembro de 2019, n° 3.266, de 30 de dezembro de 2003, n° 4.169, de 08 de julho de 2008, n° 4.269, de 15 de
dezembro de 2008, e dá outras providências.",indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,sim,
2022,Projeto de Lei,2589,"Abre crédito especial à Lei Orçamentária Anual do Distrito Federal no valor de R$ 80.000,00.",indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,sim,
2022,Projeto de Lei,2709,"Altera a Lei no 3.831, de 14 de março de 2006, que cria o Instituto de Assistência à Saúde dos Servidores do Distrito Federal – INAS, e dá outras providências.",indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,sim,
2022,Projeto de Lei,2711,"Abre crédito especial à Lei Orçamentária Anual do Distrito Federal no valor de R$ 2.882.263,00.",parcial,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,ambas,sim,50296
2022,Projeto de Lei,2713,"Institui a Política Pública Distrital destinada ao resgate de jovens vítimas de violência sexual, denominada Vira Vida.",indeterminado,nao,APROVADA,painel_resultado_rotulo,nao,2024-04-02,BLOCO VETOS 02.04.2024,64,0,0,painel,sim,
2022,Projeto de Lei,2740,"Altera a Lei nº 6.976, de 17 de novembro de 2021, que “institui, no Distrito Federal, o Programa de Proteção à Policial Civil, Policial Militar e Bombeira Militar Gestantes e Lactantes e dá outras providências”.",indeterminado,nao,REJEITADA,painel_resultado_rotulo,nao,2024-02-20,BLOCO VETOS 20.02.2024,0,34,0,painel,sim,
