ano,tipoProposicao,autor_id,autor,apresentadas,aprovadas,rejeitadas,pendentes,nao_se_aplica,inclassificavel
2023,Moção,25,Deputado João Cardoso ,12,0,0,0,12,0
2023,Moção,30,Deputado Martins Machado,19,0,0,0,19,0
2023,Moção,63,Deputado Max Maciel,12,0,0,0,12,0
2023,Moção,59,Deputado Pastor Daniel de Castro,54,0,0,0,54,0
2023,Moção,65,Deputado Pepa,19,1,0,0,18,0
2023,Moção,57,Deputado Ricardo Vale,13,0,0,0,13,0
2023,Moção,33,Deputado Robério Negreiros,19,1,0,0,18,0
2023,Moção,67,Deputado Rogério Morro da Cruz,17,0,0,0,17,0
2023,Moção,34,Deputado Roosevelt Vilela,35,0,0,0,35,0
2023,Moção,66,Deputado Thiago Manzoni,13,0,0,0,13,0
2023,Moção,58,Deputado Wellington Luiz,14,0,0,0,14,0
2023,Proc,6,Poder Executivo,17,2,0,15,0,0
2023,Projeto de Decreto Legislativo,9,"Comissão de Economia, Orçamento e Finanças",4,3,0,1,0,0
2023,Projeto de Decreto Legislativo,60,Deputada Dayse Amarilio,4,2,0,2,0,0
2023,Projeto de Decreto Legislativo,61,Deputada Doutora Jane,9,7,0,2,0,0
2023,Projeto de Decreto Legislativo,24,Deputada Jaqueline Silva,5,3,0,2,0,0
2023,Projeto de Decreto Legislativo,64,Deputada Paula Belmonte,15,7,0,8,0,0
2023,Projeto de Decreto Legislativo,15,Deputado Chico Vigilante,7,3,0,4,0,0
2023,Projeto de Decreto Legislativo,17,Deputado Daniel Donizet,4,4,0,0,0,0
2023,Projeto de Decreto Legislativo,19,Deputado Eduardo Pedrosa,13,12,0,1,0,0
2023,Projeto de Decreto Legislativo,20,Deputado Fábio Felix,3,2,0,1,0,0
2023,Projeto de Decreto Legislativo,68,Deputado Gabriel Magno,14,6,0,8,0,0
2023,Projeto de Decreto Legislativo,22,Deputado Hermeto,3,2,0,1,0,0
2023,Projeto de Decreto Legislativo,23,Deputado Iolando,5,2,0,3,0,0
2023,Projeto de Decreto Legislativo,62,Deputado Joaquim Roriz Neto,5,2,0,3,0,0
2023,Projeto de Decreto Legislativo,26,Deputado Jorge Vianna,8,6,0,2,0,0
2023,Projeto de Decreto Legislativo,25,Deputado João Cardoso ,7,4,0,3,0,0
2023,Projeto de Decreto Legislativo,30,Deputado Martins Machado,4,1,0,3,0,0
2023,Projeto de Decreto Legislativo,63,Deputado Max Maciel,7,4,0,3,0,0
2023,Projeto de Decreto Legislativo,59,Deputado Pastor Daniel de Castro,24,10,0,14,0,0
2023,Projeto de Decreto Legislativo,65,Deputado Pepa,10,6,0,4,0,0
2023,Projeto de Decreto Legislativo,57,Deputado Ricardo Vale,11,6,0,5,0,0
2023,Projeto de Decreto Legislativo,33,Deputado Robério Negreiros,9,7,0,2,0,0
2023,Projeto de Decreto Legislativo,67,Deputado Rogério Morro da Cruz,7,4,0,3,0,0
2023,Projeto de Decreto Legislativo,34,Deputado Roosevelt Vilela,11,7,0,4,0,0
2023,Projeto de Decreto Legislativo,66,Deputado Thiago Manzoni,10,2,0,8,0,0
2023,Projeto de Decreto Legislativo,58,Deputado Wellington Luiz,14,5,0,9,0,0
2023,Projeto de Lei,42,Defensoria Pública do Distrito Federal,7,1,0,6,0,0
2023,Projeto de Lei,60,Deputada Dayse Amarilio,21,4,0,17,0,0
2023,Projeto de Lei,61,Deputada Doutora Jane,22,7,0,15,0,0
2023,Projeto de Lei,24,Deputada Jaqueline Silva,32,5,0,27,0,0
2023,Projeto de Lei,64,Deputada Paula Belmonte,70,9,0,61,0,0
2023,Projeto de Lei,15,Deputado Chico Vigilante,9,2,0,7,0,0
2023,Projeto de Lei,17,Deputado Daniel Donizet,10,1,0,9,0,0
2023,Projeto de Lei,19,Deputado Eduardo Pedrosa,39,5,0,34,0,0
2023,Projeto de Lei,20,Deputado Fábio Felix,20,4,0,16,0,0
2023,Projeto de Lei,68,Deputado Gabriel Magno,55,8,0,47,0,0
2023,Projeto de Lei,22,Deputado Hermeto,22,2,0,20,0,0
2023,Projeto de Lei,23,Deputado Iolando,48,3,0,45,0,0
2023,Projeto de Lei,62,Deputado Joaquim Roriz Neto,52,11,0,41,0,0
2023,Projeto de Lei,26,Deputado Jorge Vianna,23,4,0,19,0,0
2023,Projeto de Lei,25,Deputado João Cardoso ,33,5,0,28,0,0
2023,Projeto de Lei,30,Deputado Martins Machado,17,3,0,14,0,0
2023,Projeto de Lei,63,Deputado Max Maciel,15,8,0,7,0,0
2023,Projeto de Lei,59,Deputado Pastor Daniel de Castro,83,10,0,73,0,0
2023,Projeto de Lei,65,Deputado Pepa,19,8,0,11,0,0
2023,Projeto de Lei,57,Deputado Ricardo Vale,30,9,0,21,0,0
2023,Projeto de Lei,33,Deputado Robério Negreiros,41,6,0,35,0,0
2023,Projeto de Lei,67,Deputado Rogério Morro da Cruz,48,8,0,40,0,0
2023,Projeto de Lei,34,Deputado Roosevelt Vilela,23,2,0,21,0,0
2023,Projeto de Lei,66,Deputado Thiago Manzoni,21,7,0,14,0,0
2023,Projeto de Lei,58,Deputado Wellington Luiz,23,9,0,14,0,0
2023,Projeto de Lei,56,Mesa Diretora,2,0,0,2,0,0
2023,Projeto de Lei,6,Poder Executivo,87,56,0,31,0,0
2023,Projeto de Lei,7,Tribunal de Contas do Distrito Federal,6,2,0,4,0,0
2023,Projeto de Lei Complementar,60,Deputada Dayse Amarilio,3,0,0,3,0,0
2023,Projeto de Lei Complementar,24,Deputada Jaqueline Silva,1,0,0,1,0,0
2023,Projeto de Lei Complementar,64,Deputada Paula Belmonte,3,1,0,2,0,0
2023,Projeto de Lei Complementar,20,Deputado Fábio Felix,2,1,0,1,0,0
2023,Projeto de Lei Complementar,68,Deputado Gabriel Magno,5,1,0,4,0,0
