deputado,chave,ano,mes,total_no_quadro,total_nos_comprovantes,diferenca,comprovantes,concordam,as_of_quadro,as_of_comprovantes
DRA. JANE,DOUTORA JANE,2024,8,14860.06,,,0,não,2026-09-01,2026-08-11T18:09:30
DRA. JANE,DOUTORA JANE,2024,9,14101.99,,,0,não,2026-09-01,2026-08-11T18:09:30
DRA. JANE,DOUTORA JANE,2024,10,15368.40,,,0,não,2026-09-01,2026-08-11T18:09:30
DRA. JANE,DOUTORA JANE,2024,11,8798.55,,,0,não,2026-09-01,2026-08-11T18:09:30
DRA. JANE,DOUTORA JANE,2024,12,15138.64,,,0,não,2026-09-01,2026-08-11T18:09:30
DRA. JANE,DOUTORA JANE,2025,1,13196.22,,,0,não,2026-09-01,2026-08-11T18:09:30
DRA. JANE,DOUTORA JANE,2025,2,15379.35,,,0,não,2026-09-01,2026-08-11T18:09:30
DRA. JANE,DOUTORA JANE,2025,3,15732.35,,,0,não,2026-09-01,2026-08-11T18:09:30
DRA. JANE,DOUTORA JANE,2025,4,17812.81,,,0,não,2026-09-01,2026-08-11T18:09:30
DRA. JANE,DOUTORA JANE,2025,5,18378.34,,,0,não,2026-09-01,2026-08-11T18:09:30
DRA. JANE,DOUTORA JANE,2025,6,17429.48,,,0,não,2026-09-01,2026-08-11T18:09:30
DRA. JANE,DOUTORA JANE,2025,7,15798.76,,,0,não,2026-09-01,2026-08-11T18:09:30
DRA. JANE,DOUTORA JANE,2025,8,16303.14,,,0,não,2026-09-01,2026-08-11T18:09:30
DRA. JANE,DOUTORA JANE,2025,9,16949.61,,,0,não,2026-09-01,2026-08-11T18:09:30
DRA. JANE,DOUTORA JANE,2025,10,15914.73,,,0,não,2026-09-01,2026-08-11T18:09:30
DRA. JANE,DOUTORA JANE,2025,11,16130.69,,,0,não,2026-09-01,2026-08-11T18:09:30
DRA. JANE,DOUTORA JANE,2025,12,9103.54,,,0,não,2026-09-01,2026-08-11T18:09:30
DRA. JANE,DOUTORA JANE,2026,1,12131.44,6388.40,5743.04,2,não,2026-09-01,2026-08-11T18:09:30
DRA. JANE,DOUTORA JANE,2026,2,12181.45,6531.44,5650.01,3,não,2026-09-01,2026-08-11T18:09:30
DRA. JANE,DOUTORA JANE,2026,3,12268.91,12181.45,87.46,4,não,2026-09-01,2026-08-11T18:09:30
DRA. JANE,DOUTORA JANE,2026,4,16435.60,12268.91,4166.69,4,não,2026-09-01,2026-08-11T18:09:30
DRA. JANE,DOUTORA JANE,2026,5,14256.04,22035.60,'-7779.56,5,não,2026-09-01,2026-08-11T18:09:30
DRA. JANE,DOUTORA JANE,2026,6,14753.57,7867.64,6885.93,2,não,2026-09-01,2026-08-11T18:09:30
EDUARDO PEDROSA,EDUARDO PEDROSA,2023,1,0.00,,,0,não,2026-09-01,2026-08-11T18:09:30
EDUARDO PEDROSA,EDUARDO PEDROSA,2023,2,0.00,,,0,não,2026-09-01,2026-08-11T18:09:30
EDUARDO PEDROSA,EDUARDO PEDROSA,2023,3,0.00,,,0,não,2026-09-01,2026-08-11T18:09:30
EDUARDO PEDROSA,EDUARDO PEDROSA,2023,4,0.00,,,0,não,2026-09-01,2026-08-11T18:09:30
EDUARDO PEDROSA,EDUARDO PEDROSA,2023,5,0.00,,,0,não,2026-09-01,2026-08-11T18:09:30
EDUARDO PEDROSA,EDUARDO PEDROSA,2023,6,0.00,,,0,não,2026-09-01,2026-08-11T18:09:30
EDUARDO PEDROSA,EDUARDO PEDROSA,2023,7,0.00,,,0,não,2026-09-01,2026-08-11T18:09:30
EDUARDO PEDROSA,EDUARDO PEDROSA,2023,8,0.00,,,0,não,2026-09-01,2026-08-11T18:09:30
EDUARDO PEDROSA,EDUARDO PEDROSA,2023,9,0.00,,,0,não,2026-09-01,2026-08-11T18:09:30
EDUARDO PEDROSA,EDUARDO PEDROSA,2023,10,0.00,,,0,não,2026-09-01,2026-08-11T18:09:30
EDUARDO PEDROSA,EDUARDO PEDROSA,2023,11,0.00,,,0,não,2026-09-01,2026-08-11T18:09:30
EDUARDO PEDROSA,EDUARDO PEDROSA,2023,12,0.00,,,0,não,2026-09-01,2026-08-11T18:09:30
EDUARDO PEDROSA,EDUARDO PEDROSA,2024,1,0.00,,,0,não,2026-09-01,2026-08-11T18:09:30
EDUARDO PEDROSA,EDUARDO PEDROSA,2024,2,0.00,,,0,não,2026-09-01,2026-08-11T18:09:30
EDUARDO PEDROSA,EDUARDO PEDROSA,2024,3,0.00,,,0,não,2026-09-01,2026-08-11T18:09:30
EDUARDO PEDROSA,EDUARDO PEDROSA,2024,4,0.00,,,0,não,2026-09-01,2026-08-11T18:09:30
EDUARDO PEDROSA,EDUARDO PEDROSA,2024,5,0.00,,,0,não,2026-09-01,2026-08-11T18:09:30
EDUARDO PEDROSA,EDUARDO PEDROSA,2024,6,0.00,,,0,não,2026-09-01,2026-08-11T18:09:30
EDUARDO PEDROSA,EDUARDO PEDROSA,2024,7,0.00,,,0,não,2026-09-01,2026-08-11T18:09:30
EDUARDO PEDROSA,EDUARDO PEDROSA,2024,8,0.00,,,0,não,2026-09-01,2026-08-11T18:09:30
EDUARDO PEDROSA,EDUARDO PEDROSA,2024,9,0.00,,,0,não,2026-09-01,2026-08-11T18:09:30
EDUARDO PEDROSA,EDUARDO PEDROSA,2024,10,0.00,,,0,não,2026-09-01,2026-08-11T18:09:30
EDUARDO PEDROSA,EDUARDO PEDROSA,2024,11,0.00,,,0,não,2026-09-01,2026-08-11T18:09:30
EDUARDO PEDROSA,EDUARDO PEDROSA,2024,12,0.00,,,0,não,2026-09-01,2026-08-11T18:09:30
EDUARDO PEDROSA,EDUARDO PEDROSA,2025,1,0.00,,,0,não,2026-09-01,2026-08-11T18:09:30
EDUARDO PEDROSA,EDUARDO PEDROSA,2025,2,0.00,,,0,não,2026-09-01,2026-08-11T18:09:30
EDUARDO PEDROSA,EDUARDO PEDROSA,2025,3,0.00,,,0,não,2026-09-01,2026-08-11T18:09:30
EDUARDO PEDROSA,EDUARDO PEDROSA,2025,4,0.00,,,0,não,2026-09-01,2026-08-11T18:09:30
EDUARDO PEDROSA,EDUARDO PEDROSA,2025,5,0.00,,,0,não,2026-09-01,2026-08-11T18:09:30
EDUARDO PEDROSA,EDUARDO PEDROSA,2025,6,0.00,,,0,não,2026-09-01,2026-08-11T18:09:30
EDUARDO PEDROSA,EDUARDO PEDROSA,2025,7,0.00,,,0,não,2026-09-01,2026-08-11T18:09:30
EDUARDO PEDROSA,EDUARDO PEDROSA,2025,8,0.00,,,0,não,2026-09-01,2026-08-11T18:09:30
EDUARDO PEDROSA,EDUARDO PEDROSA,2025,9,0.00,,,0,não,2026-09-01,2026-08-11T18:09:30
EDUARDO PEDROSA,EDUARDO PEDROSA,2025,10,0.00,,,0,não,2026-09-01,2026-08-11T18:09:30
EDUARDO PEDROSA,EDUARDO PEDROSA,2025,11,0.00,,,0,não,2026-09-01,2026-08-11T18:09:30
EDUARDO PEDROSA,EDUARDO PEDROSA,2025,12,0.00,,,0,não,2026-09-01,2026-08-11T18:09:30
EDUARDO PEDROSA,EDUARDO PEDROSA,2026,1,0.00,,,0,não,2026-09-01,2026-08-11T18:09:30
EDUARDO PEDROSA,EDUARDO PEDROSA,2026,2,0.00,,,0,não,2026-09-01,2026-08-11T18:09:30
EDUARDO PEDROSA,EDUARDO PEDROSA,2026,3,0.00,,,0,não,2026-09-01,2026-08-11T18:09:30
EDUARDO PEDROSA,EDUARDO PEDROSA,2026,4,0.00,,,0,não,2026-09-01,2026-08-11T18:09:30
EDUARDO PEDROSA,EDUARDO PEDROSA,2026,5,0.00,,,0,não,2026-09-01,2026-08-11T18:09:30
EDUARDO PEDROSA,EDUARDO PEDROSA,2026,6,0.00,,,0,não,2026-09-01,2026-08-11T18:09:30
FÁBIO FÉLIX,FABIO FELIX,2023,1,2700.00,,,0,não,2026-09-01,2026-08-11T18:09:30
FÁBIO FÉLIX,FABIO FELIX,2023,2,2700.00,2700.00,0.00,1,sim,2026-09-01,2026-08-11T18:09:30
FÁBIO FÉLIX,FABIO FELIX,2023,3,2700.00,2700.00,0.00,1,sim,2026-09-01,2026-08-11T18:09:30
FÁBIO FÉLIX,FABIO FELIX,2023,4,2700.00,2700.00,0.00,1,sim,2026-09-01,2026-08-11T18:09:30
FÁBIO FÉLIX,FABIO FELIX,2023,5,2700.00,2700.00,0.00,1,sim,2026-09-01,2026-08-11T18:09:30
FÁBIO FÉLIX,FABIO FELIX,2023,6,2700.00,2700.00,0.00,1,sim,2026-09-01,2026-08-11T18:09:30
