ano,data_da_emenda,id_emenda,lei,nr_emenda,programa_de_trabalho,programa_de_trabalho_compartilhado,status,cod_unidade_orcamentaria,unidade_orcamentaria,vl_emenda,vl_lei_alteracao,vl_bloqueado_siggo,vl_disponivel,vl_empenhado,vl_desbloqueado,vl_saldo_a_solicitar,vl_liquidado,as_of
2021,2021-04-16,668,LOA - 6778/2021(PL1417-2021),00048.01,13.392.6219.9075.0164,não,ATIVO,230101,SECRETARIA DE ESTADO DE CULTURA E ECONOMIA CRIATIVA DO DISTRITO FEDERAL,"500.000,00","500.000,00","0,00","300,16","499.699,84","500.000,00","0,00","499.699,84",2025-12-16T18:14:28.151388
2021,2021-04-29,669,LOA - 6778/2021(PL1417-2021),00165.01,20.606.6201.4119.2903,não,ATIVO,210101,"SECRETARIA DE ESTADO DA AGRICULTURA, ABASTECIMENTO E DESENVOLVIMENTO RURAL DO DISTRITO FEDERAL","270.000,00","270.000,00","0,00","270.000,00","0,00","270.000,00","0,00","0,00",2025-12-16T18:14:28.151388
2021,2021-02-01,670,LOA - 6778/2021(PL1417-2021),00261.01,27.812.6206.9080.0088,não,CANCELADO,340101,SECRETARIA DE ESTADO DO ESPORTE E LAZER DO DISTRITO FEDERAL,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388
2021,2023-01-04,671,LOA - 6778/2021(PL1417-2021),00156.01,20.606.6201.2173.0029,não,ATIVO,210203,EMPRESA DE ASSISTÊNCIA TÉCNICA E EXTENSÃO RURAL DO DISTRITO FEDERAL,"87.000,00","87.000,00","0,00","6.200,00","80.800,00","87.000,00","0,00","0,00",2025-12-16T18:14:28.151388
2021,2021-04-16,672,LOA - 6778/2021(PL1417-2021),00034.01,14.243.6211.9078.0043,não,CANCELADO,670101,SECRETARIA DE ESTADO DA FAMÍLIA DO DISTRITO FEDERAL,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388
2021,2021-04-23,673,LOA - 6778/2021(PL1417-2021),00543.01,27.812.6206.2024.5837,não,CANCELADO,190115,ADM. REG. DE SANTA MARIA,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388
2021,2021-04-16,674,LOA - 6778/2021(PL1417-2021),00188.01,27.812.6206.9080.0089,não,CANCELADO,340101,SECRETARIA DE ESTADO DO ESPORTE E LAZER DO DISTRITO FEDERAL,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388
2021,2021-04-16,675,LOA - 6778/2021(PL1417-2021),00071.01,27.812.6206.9080.0082,não,ATIVO,340101,SECRETARIA DE ESTADO DO ESPORTE E LAZER DO DISTRITO FEDERAL,"1.300.000,00","1.300.000,00","0,00","720.515,76","579.484,24","1.300.000,00","0,00","579.484,24",2025-12-16T18:14:28.151388
2021,2021-04-16,676,LOA - 6778/2021(PL1417-2021),00353.01,20.606.6201.2173.0036,não,CANCELADO,210203,EMPRESA DE ASSISTÊNCIA TÉCNICA E EXTENSÃO RURAL DO DISTRITO FEDERAL,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388
2021,2021-04-16,677,LOA - 6778/2021(PL1417-2021),00052.01,27.812.6206.9080.0071,não,ATIVO,340101,SECRETARIA DE ESTADO DO ESPORTE E LAZER DO DISTRITO FEDERAL,"305.000,00","305.000,00","0,00","107.454,94","197.545,06","305.000,00","0,00","197.545,06",2025-12-16T18:14:28.151388
2021,2021-04-16,678,LOA - 6778/2021(PL1417-2021),00144.01,27.812.6206.2631.0012,não,CANCELADO,340101,SECRETARIA DE ESTADO DO ESPORTE E LAZER DO DISTRITO FEDERAL,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388
2021,2023-01-04,679,LOA - 6778/2021(PL1417-2021),00514.01,10.122.6202.4166.0035,não,ATIVO,170901,FUNDO DE SAÚDE DO DISTRITO FEDERAL,"500.000,00","500.000,00","0,00","0,00","500.000,00","500.000,00","0,00","500.000,00",2025-12-16T18:14:28.151388
2021,2023-01-04,680,LOA - 6778/2021(PL1417-2021),00366.01,10.122.6202.4166.0034,não,ATIVO,170901,FUNDO DE SAÚDE DO DISTRITO FEDERAL,"930.000,00","930.000,00","0,00","0,00","930.000,00","885.000,00","45.000,00","930.000,00",2025-12-16T18:14:28.151388
2021,2021-04-16,681,LOA - 6778/2021(PL1417-2021),00031.01,27.812.6206.9080.0080,não,ATIVO,190112,ADM. REG. DO GUARÁ,"100.000,00","100.000,00","0,00","22.135,54","77.864,46","100.000,00","0,00","77.864,46",2025-12-16T18:14:28.151388
2021,2021-04-17,682,LOA - 6778/2021(PL1417-2021),00428.01,27.392.6219.9075.0185,não,CANCELADO,310101,SECRETARIA DE ESTADO DE TURISMO DO DISTRITO FEDERAL,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",2025-12-16T18:14:28.151388
