ano,tipo_votacao,co_materia,materia,data,votos_sim,votos_nao,abstencoes,votos_nao_informado,total_votos,as_of,ementa
2023,NOMINAL,6806,TURNO ÚNICO PDL Nº 204/2021,2023-05-31,13,0,0,0,13,2026-08-27,CONCEDE O TÍTULO DE CIDADÃO HONORÁRIO DE BRASÍLIA A LUCIANO ATAYDE COSTA CABRAL.
2023,NOMINAL,6833,BLOCO REQUERIMENTOS 26.04.2023,2023-04-26,13,0,0,0,13,2026-08-27,"REQUERIMENTOS N° 443, 445 E 455, TODOS DE 2023."
2023,NOMINAL,6834,BLOCO VETOS PODER EXECUTIVO 30.08.2023,2023-08-30,14,0,0,0,14,2026-08-27,"VETOS TOTAIS E PARCIAIS OPOSTOS ÀS PROPOSIÇÕES A SEGUIR: PLC N° 18 DE 2019,  
PL Nº 745 DE 2019,
PL N° 812 DE 2019, 
PL N° 813 DE 2019, 
PL N° 990 DE 2020, 
PL N° 988 DE 2020, 
PL N° 1.106 DE 2020, 
PL N° 1.053 DE 2020, 
PL N° 1.015 DE 2020, 
PLC N° 30 DE 2020, 
PL N° 944 DE 2020, 
PLC N° 44 DE 2020, 
PLC N° 45 DE 2020, 
PL N° 1.196 DE 2020, 
PLC N° 58 DE 2020, 
PL N° 1.456 DE 2020, 
PLC N° 63 DE 2020, 
PL N° 1.235 DE 2020, 
PL N° 1.490 DE 2020, 
PLC N° 70 DE 2020, 
PL N° 1.637 DE 2020,  
PL N° 1.818 DE 2021, 
PL N° 1.657 DE 2021, 
PLC N° 77 DE 2021, 
PL N° 1.907 DE 2021, 
PL N° 1.735 DE 2021, 
PLC N° 34 DE 2020, 
PL N° 2.237 DE 2021, 
PL N° 2.252 DE 2021, 
PL N° 2.419 DE 2021, 
PL N° 2.420 DE 2021, 
PL N° 2.449 DE 2021, 
PLC N° 97 DE 2021,
PL N° 2.224 DE 2021, 
PLC N° 88 DE 2021, 
PLC N° 99 DE 2021, 
PLC N° 69 DE 2020, 
PL N° 2.709 DE 2022, 
PL N° 2.558 DE 2022, 
PL N° 809 DE 2019, 
PL N° 2.312 DE 2021, 
PL N° 2.397 DE 2021, 
PLC N° 120 DE 2022, E
PL N° 2.749 DE 2022."
2023,NOMINAL,6852,BLOCO MOÇÕES E REQUERIMENTOS 03.05.2023,2023-05-03,15,0,0,0,15,2026-08-27,"REQUERIMENTOS N° 477 E 478, AMBOS DE 2023 E MOÇÕES DE N° 137 A 142, TODAS DE 2023."
2023,NOMINAL,6894,TURNO ÚNICO PDL Nº 14/2023,2023-05-23,14,0,0,0,14,2026-08-27,CONCEDE O TÍTULO DE CIDADÃO HONORÁRIO DE BRASÍLIA AO SENHOR RICARDO CAPELLI.
2023,NOMINAL,6895,BLOCO REQUERIMENTOS E MOÇÕES 23.05.2023,2023-05-23,13,0,0,0,13,2026-08-27,"REQUERIMENTOS Nº 551 558, 570 E 572, TODOS DE 2023 E MOÇÕES DE N° 179 A 194, TODAS DE 2023."
2023,NOMINAL,6899,TURNO ÚNICO PDL Nº 181/2021,2023-05-23,14,0,0,0,14,2026-08-27,NÃO INFORMADO
2023,NOMINAL,6907,1º TURNO DO PROJETO DE LEI  Nº 399/2023,2023-05-31,14,0,0,0,14,2026-08-27,"DISPÕE SOBRE O REAJUSTE GERAL DOS DEFENSORES PÚBLICOS, ANALISTAS DE APOIO JURÍDICO À ATIVIDADE DE ASSISTÊNCIA JURÍDICA E ANALISTAS DE APOIO ESPECIALIZADO À ATIVIDADE DE ASSISTÊNCIA JURÍDICA ATIVOS, APOSENTADOS E PENSIONISTAS DA DEFENSORIA PÚBLICA DO DISTRITO FEDERAL"
2023,NOMINAL,6912,1º TURNO PROJETO DE LEI COMPLEMENTAR Nº 14/2023,2023-06-27,21,0,0,0,21,2026-08-27,"ALTERA A LEI COMPLEMENTAR Nº 840, DE 23 DE DEZEMBRO DE 2011, PARA GARANTIR A REMOÇÃO, INDEPENDENTEMENTE DO INTERESSE DA ADMINISTRAÇÃO, DE SERVIDORA PÚBLICA VÍTIMA DE VIOLÊNCIA INSTITUCIONAL"
2023,NOMINAL,6913,2º TURNO PROJETO DE LEI COMPLEMENTAR Nº 14/2023,2023-06-27,20,0,0,0,20,2026-08-27,"ALTERA A LEI COMPLEMENTAR Nº 840, DE 23 DE DEZEMBRO DE 2011, PARA GARANTIR A REMOÇÃO, INDEPENDENTEMENTE DO INTERESSE DA ADMINISTRAÇÃO, DE SERVIDORA PÚBLICA VÍTIMA DE VIOLÊNCIA INSTITUCIONAL"
