id_emenda,ano,nr_emenda,declarada_no_painel,declarada_no_portal,vl_lei_alteracao_painel,vl_lei_alteracao_portal,diferenca,vl_empenhado_painel,vl_empenhado_portal,diferenca_empenhado,motivo_da_ausencia,as_of_painel,as_of_portal
2199,2022,00122.01,não,sim,,"10.059.400,00",,,"10.059.400,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2200,2022,00123.01,não,sim,,"300.000,00",,,"294.929,43",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2201,2022,00124.01,não,sim,,"34.808,00",,,"34.808,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2202,2022,00125.01,não,sim,,"0,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2203,2022,00126.01,não,sim,,"0,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2204,2022,00127.01,não,sim,,"0,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2205,2022,00128.01,não,sim,,"0,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2206,2022,00129.01,não,sim,,"500.000,00",,,"498.488,60",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2207,2022,00130.01,não,sim,,"0,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2208,2022,00131.01,não,sim,,"1.000.000,00",,,"1.000.000,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2209,2022,00132.01,não,sim,,"0,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2210,2022,00133.01,não,sim,,"140.000,00",,,"140.000,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2211,2022,00134.01,não,sim,,"0,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2212,2022,00135.01,não,sim,,"200.000,00",,,"200.000,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2213,2022,00136.01,não,sim,,"500.000,00",,,"462.542,63",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2214,2022,00137.01,não,sim,,"0,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2215,2022,00138.01,não,sim,,"0,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2216,2022,00514.01,não,sim,,"0,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2217,2022,00193.01,não,sim,,"3.000.000,00",,,"2.964.815,40",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2218,2022,00195.01,não,sim,,"2.129.140,00",,,"2.129.140,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2219,2022,00196.01,não,sim,,"1.042.700,00",,,"1.042.700,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2220,2022,00197.01,não,sim,,"1.400.000,00",,,"1.304.226,86",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2221,2022,00198.01,não,sim,,"1.800.000,00",,,"1.800.000,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2222,2022,00200.01,não,sim,,"480.000,00",,,"480.000,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2223,2022,00201.01,não,sim,,"595.428,00",,,"595.427,09",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2224,2022,00202.01,não,sim,,"50.000,00",,,"47.795,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2225,2022,00203.01,não,sim,,"300.000,00",,,"299.754,68",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2226,2022,00204.01,não,sim,,"0,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2227,2022,00205.01,não,sim,,"0,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2228,2022,00206.01,não,sim,,"0,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2229,2022,00207.01,não,sim,,"0,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2230,2022,00208.01,não,sim,,"0,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2231,2022,00209.01,não,sim,,"0,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2232,2022,00210.01,não,sim,,"0,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2233,2022,00211.01,não,sim,,"0,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2234,2022,00212.01,não,sim,,"0,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2235,2022,00213.01,não,sim,,"0,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2236,2022,00214.01,não,sim,,"1.000.000,00",,,"999.929,76",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2237,2022,00215.01,não,sim,,"1.600.000,00",,,"1.593.784,23",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2238,2022,00216.01,não,sim,,"1.650.000,00",,,"1.150.000,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2239,2022,00217.01,não,sim,,"400.000,00",,,"400.000,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2240,2022,00218.01,não,sim,,"0,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2241,2022,00219.01,não,sim,,"0,00",,,"0,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2242,2022,00220.01,não,sim,,"3.786.300,00",,,"3.786.300,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2243,2022,00526.01,não,sim,,"1.800.000,00",,,"1.602.729,60",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
2244,2022,00604.01,não,sim,,"179.105,00",,,"179.105,00",,fora da janela do painel (2021–2022; o painel cobre 2023–2026),2026-09-01,2025-12-16T18:14:28.151388
