unidade_normalizada,competencia,ano,mes,quantidade,com_matricula,com_afericao,apenas_nome
Coordenadoria de Contratos e Aquisições - CONTAQ,2023-11,2023,11,3,0,0,3
Corrdenadoria de Engenhearia e Arquitetura - COTEA,2023-11,2023,11,3,0,0,3
Diretoria de Administração e Finanças - DAF,2023-11,2023,11,3,0,0,3
Divisão de Desenvolvimento de Recursos Humanos - DDRH,2023-11,2023,11,1,0,0,1
Escola do Legislativo - ELEGIS,2023-11,2023,11,6,0,0,6
Gabinete da Mesa Diretoria - GMD,2023-11,2023,11,3,0,0,3
Gabinete da Terceira Secretaria - GTS,2023-11,2023,11,1,0,0,1
Ouvidoria,2023-11,2023,11,2,0,0,2
Setor de Apoio às Comissões Permanentes - SACP,2023-11,2023,11,4,0,0,4
Setor de Apoio às Comissões Temporárias - SACT,2023-11,2023,11,1,0,0,1
Setor de Assistência Social - SASo,2023-11,2023,11,1,0,0,1
Setor de Biblioteca - SEBIB,2023-11,2023,11,3,0,0,3
Setor de Finanças - SEFIN,2023-11,2023,11,4,0,0,4
Setor de Patrimônio - SEPAT,2023-11,2023,11,1,0,0,1
Setor de Taquigrafia - SETAQ,2023-11,2023,11,44,0,0,44
Setor de Tramitação Ata e Súmula  SETAS,2023-11,2023,11,1,0,0,1
Seção de Administração de Sistemas - SEASI,2023-11,2023,11,5,0,0,5
Seção de Elaboração Orçamentária - SEORC,2023-11,2023,11,4,0,0,4
Seção de Infraestrutura de Tecnologia da Informação - SEINF,2023-11,2023,11,5,0,0,5
Unidade Desenvolvimento Urbano Rural e Meio Ambiente - UDA,2023-11,2023,11,10,0,0,10
Unidade de Constituição e Justiça - UCJ,2023-11,2023,11,7,0,0,7
Unidade de Economia e Finanças - UEF,2023-11,2023,11,7,0,0,7
Unidade de Saúde Educação Cultura e Desenvolvimento Científico e Tecnológico - USE,2023-11,2023,11,6,0,0,6
Auditoria - AUDIT,2023-12,2023,12,5,0,0,5
Comissão Permanente de Contratação - CPC,2023-12,2023,12,1,0,0,1
Comissão Permanente de Tomada de Contas Especial e Sindicância,2023-12,2023,12,3,0,0,3
Comissão de Economia Orçamento e Finanças - CEOF,2023-12,2023,12,3,0,0,3
Comissão de Educação Saúde e Cultura,2023-12,2023,12,2,0,0,2
Comissão dos Anais e Memória,2023-12,2023,12,1,0,0,1
Coordenadoria de Contratos e Aquisições - CONTAQ,2023-12,2023,12,3,0,0,3
Corrdenadoria de Engenhearia e Arquitetura - COTEA,2023-12,2023,12,3,0,0,3
Diretoria de Administração e Finanças - DAF,2023-12,2023,12,3,0,0,3
Escola do Legislativo - ELEGIS,2023-12,2023,12,6,0,0,6
Gabinete da Mesa Diretoria - GMD,2023-12,2023,12,3,0,0,3
Gabinete da Terceira Secretaria - GTS,2023-12,2023,12,1,0,0,1
Núcleo de Jornalismo e Comunicação Interativa - NJCI,2023-12,2023,12,2,0,0,2
Ouvidoria,2023-12,2023,12,2,0,0,2
Setor de Apoio às Comissões Permanentes - SACP,2023-12,2023,12,5,0,0,5
Setor de Apoio às Comissões Temporárias - SACT,2023-12,2023,12,1,0,0,1
Setor de Biblioteca - SEBIB,2023-12,2023,12,3,0,0,3
Setor de Finanças - SEFIN,2023-12,2023,12,4,0,0,4
Setor de Patrimônio - SEPAT,2023-12,2023,12,1,0,0,1
Setor de Taquigrafia - SETAQ,2023-12,2023,12,44,0,0,44
Setor de Tramitação Ata e Súmula  SETAS,2023-12,2023,12,1,0,0,1
Seção de Administração de Sistemas - SEASI,2023-12,2023,12,5,0,0,5
Seção de Elaboração Orçamentária - SEORC,2023-12,2023,12,4,0,0,4
Seção de Infraestrutura de Tecnologia da Informação - SEINF,2023-12,2023,12,5,0,0,5
Unidade Desenvolvimento Urbano Rural e Meio Ambiente - UDA,2023-12,2023,12,10,0,0,10
Unidade de Constituição e Justiça - UCJ,2023-12,2023,12,7,0,0,7
Unidade de Economia e Finanças - UEF,2023-12,2023,12,9,0,0,9
Unidade de Saúde Educação Cultura e Desenvolvimento Científico e Tecnológico - USE,2023-12,2023,12,7,0,0,7
Assessoria Legislativa,2024-01,2024,01,4,0,0,4
Assessoria de Governança Legislativa e Gestão Estratégica,2024-01,2024,01,3,0,0,3
Auditoria Interna - AUDIT,2024-01,2024,01,5,0,0,5
Comissão Permanente de Contratação - CPC,2024-01,2024,01,1,0,0,1
Comissão Permanente de Tomada de Contas Especial e Sindicância,2024-01,2024,01,2,0,0,2
Comissão de Constituição e Justiça - CCJ,2024-01,2024,01,4,0,0,4
"Comissão de Economia, Orçamento e Finanças - CEOF",2024-01,2024,01,7,0,0,7
"Comissão de Educação, Saúde e Cultura - CESC",2024-01,2024,01,2,0,0,2
Coordenadoria de Engenharia e Arquitetura - COTEA,2024-01,2024,01,3,0,0,3
Coordenadoria de Modernização e Informática - CMI,2024-01,2024,01,1,0,0,1
Diretoria de Administração e Finanças - DAF,2024-01,2024,01,3,0,0,3
Diretoria de Comunicação Social - DICOM,2024-01,2024,01,1,0,0,1
Divisão de Desenvolvimento de Recursos Humanos - DDRH,2024-01,2024,01,1,0,0,1
Escola do Legislativo - ELEGIS,2024-01,2024,01,4,0,0,4
Gabinete da Mesa Diretoria - GMD,2024-01,2024,01,3,0,0,3
Gabinete da Terceira Secretaria - GTS,2024-01,2024,01,1,0,0,1
Núcleo de Jornalismo e Comunicação Interativa - NJCI,2024-01,2024,01,7,0,0,7
Ouvidoria -OUV,2024-01,2024,01,2,0,0,2
Publicidade Institucional - PI,2024-01,2024,01,1,0,0,1
Setor de Apoio às Comissões Permanentes - SACP,2024-01,2024,01,4,0,0,4
Setor de Apoio às Comissões Temporárias - SACT,2024-01,2024,01,2,0,0,2
Setor de Assistência Social - SASo,2024-01,2024,01,1,0,0,1
Setor de Ata e Súmula,2024-01,2024,01,1,0,0,1
Setor de Biblioteca - SEBIB,2024-01,2024,01,3,0,0,3
Setor de Finanças - SEFIN,2024-01,2024,01,3,0,0,3
Setor de Patrimônio - SEPAT,2024-01,2024,01,1,0,0,1
Setor de Taquigrafia - SETAQ,2024-01,2024,01,45,0,0,45
Seção de Administração de Sistemas - SEASI,2024-01,2024,01,5,0,0,5
Seção de Elaboração Orçamentária - SEORC,2024-01,2024,01,4,0,0,4
Seção de Infraestrutura de Tecnologia da Informação - SEINF,2024-01,2024,01,5,0,0,5
"Unidade Desenvolvimento Urbano, Rural e Meio Ambiente - UDA",2024-01,2024,01,10,0,0,10
Unidade de Constituição e Justiça - UCJ,2024-01,2024,01,7,0,0,7
"Unidade de Economia e Finanças - UEF (Unidade de Processo Legislativo Orçamentário, Finanças, Transparência, Tributação, Regulação, Desenvolvimento Econômico, Ciência e Tecnologia - UEOF)",2024-01,2024,01,10,0,0,10
"Unidade de Saúde, Educação, Cultura e Desenvolvimento Científico e Tecnológico - USE",2024-01,2024,01,6,0,0,6
Assessoria Legislativa,2024-02,2024,02,4,0,0,0
Assessoria de Governança Legislativa e Gestão Estratégica,2024-02,2024,02,3,0,0,0
Auditoria Interna - AUDIT,2024-02,2024,02,5,0,0,0
Comissão Permanente de Contratação - CPC,2024-02,2024,02,1,0,0,0
Comissão Permanente de Tomada de Contas Especial e Sindicância,2024-02,2024,02,2,0,0,0
Comissão de Constituição e Justiça - CCJ,2024-02,2024,02,4,0,0,0
"Comissão de Economia, Orçamento e Finanças - CEOF",2024-02,2024,02,7,0,0,0
