ano,sigla,numero,autor,tipo_autor,registros_na_fonte,id_proposicao,as_of
2023,IND,247,Deputado Rogério Morro da Cruz,PARLAMENTAR,1,10697,2026-09-01
2023,IND,248,Deputado Robério Negreiros,PARLAMENTAR,4,10685,2026-09-01
2023,IND,249,Deputada Dayse Amarilio,PARLAMENTAR,2,10689,2026-09-01
2023,IND,250,Deputada Jaqueline Silva,PARLAMENTAR,1,10647,2026-09-01
2023,IND,251,Deputada Jaqueline Silva,PARLAMENTAR,1,10637,2026-09-01
2023,IND,252,Deputado Daniel Donizet,PARLAMENTAR,1,10812,2026-09-01
2023,IND,253,Deputado Gabriel Magno,PARLAMENTAR,1,10446,2026-09-01
2023,IND,254,Deputado Gabriel Magno,PARLAMENTAR,1,10445,2026-09-01
2023,IND,255,Deputado Gabriel Magno,PARLAMENTAR,1,10444,2026-09-01
2023,IND,256,Deputado Rogério Morro da Cruz,PARLAMENTAR,1,10792,2026-09-01
2023,IND,257,Deputado Rogério Morro da Cruz,PARLAMENTAR,1,10791,2026-09-01
2023,IND,258,Deputado Rogério Morro da Cruz,PARLAMENTAR,1,10837,2026-09-01
2023,IND,259,Deputado Rogério Morro da Cruz,PARLAMENTAR,2,10846,2026-09-01
2023,IND,260,Deputado Rogério Morro da Cruz,PARLAMENTAR,2,10845,2026-09-01
2023,IND,261,Deputado Rogério Morro da Cruz,PARLAMENTAR,1,10871,2026-09-01
2023,IND,262,Deputado Rogério Morro da Cruz,PARLAMENTAR,1,10870,2026-09-01
2023,IND,263,Deputado Rogério Morro da Cruz,PARLAMENTAR,1,10869,2026-09-01
2023,IND,264,Deputado Rogério Morro da Cruz,PARLAMENTAR,1,10824,2026-09-01
2023,IND,265,Deputado Rogério Morro da Cruz,PARLAMENTAR,2,10932,2026-09-01
2023,IND,266,Deputada Jaqueline Silva,PARLAMENTAR,1,10779,2026-09-01
2023,IND,267,Deputada Jaqueline Silva,PARLAMENTAR,1,10790,2026-09-01
2023,IND,268,Deputada Jaqueline Silva,PARLAMENTAR,1,10838,2026-09-01
2023,IND,269,Deputada Jaqueline Silva,PARLAMENTAR,1,10872,2026-09-01
2023,IND,270,Deputada Doutora Jane,PARLAMENTAR,1,10854,2026-09-01
2023,IND,271,Deputada Doutora Jane,PARLAMENTAR,1,10883,2026-09-01
2023,IND,273,Deputada Dayse Amarilio,PARLAMENTAR,1,10927,2026-09-01
2023,IND,274,Deputado Robério Negreiros,PARLAMENTAR,2,10877,2026-09-01
2023,IND,275,Deputada Jaqueline Silva,PARLAMENTAR,1,10962,2026-09-01
2023,IND,276,Deputada Jaqueline Silva,PARLAMENTAR,1,10959,2026-09-01
2023,IND,277,Deputada Dayse Amarilio,PARLAMENTAR,1,10980,2026-09-01
2023,IND,278,Deputado Fábio Felix,PARLAMENTAR,1,10536,2026-09-01
2023,IND,279,Deputado Fábio Felix,PARLAMENTAR,2,10555,2026-09-01
2023,IND,280,Deputado Eduardo Pedrosa,PARLAMENTAR,1,10919,2026-09-01
2023,IND,281,Deputado Eduardo Pedrosa,PARLAMENTAR,1,10918,2026-09-01
2023,IND,282,Deputado Eduardo Pedrosa,PARLAMENTAR,1,10917,2026-09-01
2023,IND,283,Deputado Eduardo Pedrosa,PARLAMENTAR,1,10915,2026-09-01
2023,IND,284,Deputado Eduardo Pedrosa,PARLAMENTAR,1,10914,2026-09-01
2023,IND,285,Deputado Eduardo Pedrosa,PARLAMENTAR,1,10913,2026-09-01
2023,IND,286,Deputado Eduardo Pedrosa,PARLAMENTAR,1,10912,2026-09-01
2023,IND,287,Deputado Eduardo Pedrosa,PARLAMENTAR,1,10911,2026-09-01
2023,IND,288,Deputado Eduardo Pedrosa,PARLAMENTAR,1,10910,2026-09-01
2023,IND,289,Deputado Eduardo Pedrosa,PARLAMENTAR,1,10909,2026-09-01
2023,IND,290,Deputado Eduardo Pedrosa,PARLAMENTAR,1,10907,2026-09-01
2023,IND,291,Deputado Eduardo Pedrosa,PARLAMENTAR,1,10906,2026-09-01
2023,IND,292,Deputado Eduardo Pedrosa,PARLAMENTAR,1,10904,2026-09-01
2023,IND,293,Deputado Eduardo Pedrosa,PARLAMENTAR,1,10903,2026-09-01
2023,IND,294,Deputado Eduardo Pedrosa,PARLAMENTAR,1,10902,2026-09-01
2023,IND,295,Deputado Eduardo Pedrosa,PARLAMENTAR,1,10901,2026-09-01
2023,IND,296,Deputado Eduardo Pedrosa,PARLAMENTAR,1,10900,2026-09-01
2023,IND,297,Deputado Eduardo Pedrosa,PARLAMENTAR,1,10899,2026-09-01
2023,IND,298,Deputado Eduardo Pedrosa,PARLAMENTAR,1,10898,2026-09-01
2023,IND,299,Deputado Eduardo Pedrosa,PARLAMENTAR,1,10897,2026-09-01
2023,IND,300,Deputado Eduardo Pedrosa,PARLAMENTAR,1,10895,2026-09-01
2023,IND,301,Deputado Eduardo Pedrosa,PARLAMENTAR,1,10894,2026-09-01
2023,IND,302,Deputado Eduardo Pedrosa,PARLAMENTAR,1,10893,2026-09-01
2023,IND,303,Deputado Eduardo Pedrosa,PARLAMENTAR,1,10892,2026-09-01
2023,IND,304,Deputado Eduardo Pedrosa,PARLAMENTAR,1,10891,2026-09-01
2023,IND,305,Deputado Eduardo Pedrosa,PARLAMENTAR,1,10890,2026-09-01
2023,IND,306,Deputado Eduardo Pedrosa,PARLAMENTAR,1,10921,2026-09-01
2023,IND,307,Deputado Ricardo Vale,PARLAMENTAR,1,10998,2026-09-01
2023,IND,308,Deputado Rogério Morro da Cruz,PARLAMENTAR,2,10867,2026-09-01
2023,IND,309,Deputado Rogério Morro da Cruz,PARLAMENTAR,1,11012,2026-09-01
2023,IND,310,Deputado Roosevelt Vilela,PARLAMENTAR,1,11000,2026-09-01
2023,IND,311,Deputada Dayse Amarilio,PARLAMENTAR,1,11021,2026-09-01
2023,IND,312,Deputado Pepa,PARLAMENTAR,1,10875,2026-09-01
2023,IND,313,Deputado Roosevelt Vilela,PARLAMENTAR,4,11006,2026-09-01
2023,IND,314,Deputado Robério Negreiros,PARLAMENTAR,2,11005,2026-09-01
2023,IND,315,Deputado Eduardo Pedrosa,PARLAMENTAR,1,10947,2026-09-01
2023,IND,316,Deputado Eduardo Pedrosa,PARLAMENTAR,1,10946,2026-09-01
2023,IND,317,Deputado Eduardo Pedrosa,PARLAMENTAR,1,10945,2026-09-01
2023,IND,318,Deputado Eduardo Pedrosa,PARLAMENTAR,1,10944,2026-09-01
