ano,tipoProposicao,numero,siglaNumeroAno,categoria,veredito,emendas_acatadas,emendas_decididas,emendas_registradas,dataLeitura,ementa
2026,Proc,48,PROC 48/2026,pendente,pendente,0,0,0,2026-04-06,"Prestação de Contas Anual do Governador do Distrito Federal, relativa ao exercício de 2025, em consonância com o disposto no inciso XVII do artigo 100 da Lei Orgânica do Distrito Federal.
"
2026,Proc,49,PROC 49/2026,pendente,pendente,0,0,0,2026-04-16,Indicação da Dra. Diana de Almeida Ramos para o cargo de Procuradora-Geral do Distrito Federal.
2026,Proc,50,PROC 50/2026,pendente,pendente,0,0,0,2026-04-29,"Homologa dispositivos do Convênio ICMS nº 21, de 27 de janeiro de 2026, que prorroga disposições de convênios que concedem benefícios fiscais."
2026,Proc,51,PROC 51/2026,pendente,pendente,0,0,0,2026-05-07,"Homologa o Convênio ICMS nº 28, de 27 de março de 2026."
2026,Proc,52,PROC 52/2026,pendente,pendente,0,0,0,2026-05-11,Indicação do nome da Sra. Eliane Souza de Abreu para ocupar o cargo de Diretora-Presidente do Instituto de Gestão Estratégica de Saúde do Distrito Federal - Iges/DF
2026,Proc,53,PROC 53/2026,pendente,pendente,0,0,0,2026-07-01,"Encaminha os relatórios anuais de concessões e permissões atinentes ao exercício de 2025.
"
2026,Projeto de Lei,2132,PL 2132/2026,aprovada_com_emendas,aprovada,2,4,5,2026-02-04,"Altera a Lei nº 7.735, de 22 de julho de 2025, que dispõe sobre as diretrizes orçamentárias para o exercício financeiro de 2026 e dá outras providências."
2026,Projeto de Lei,2151,PL 2151/2026,aprovada_com_emendas,aprovada,173,173,175,2026-02-10,"Abre crédito suplementar à Lei Orçamentária Anual do Distrito Federal no valor de R$ 15.116.385,00."
2026,Projeto de Lei,2165,PL 2165/2026,pendente,pendente,0,0,0,2026-02-21,"Dispõe sobre as medidas a serem adotadas pelo Distrito Federal, na condição de acionista controlador, para o restabelecimento e fortalecimento das condições econômico-financeiras do Banco de Brasília S.A. – BRB, e dá outras providências."
2026,Projeto de Lei,2173,PL 2173/2026,pendente,pendente,0,0,0,2026-02-24,"Altera a Lei nº 783, de 26 de outubro de 1994, que cria a Carreira Gestão de Apoio às Atividades Policiais Civis do Distrito Federal, seus cargos efetivos, fixa os respectivos vencimentos e dá
outras providências."
2026,Projeto de Lei,2175,PL 2175/2026,aprovada_com_emendas,aprovada,7,12,13,2026-02-24,"Dispõe sobre as medidas a serem adotadas pelo Distrito Federal, na condição de acionista controlador, para o restabelecimento e fortalecimento das condições econômico-financeiras do Banco de Brasília S.A. – BRB, e dá outras providências."
2026,Projeto de Lei,2204,PL 2204/2026,pendente,pendente,0,0,0,2026-03-09,"Autoriza  o  Poder  Executivo  Distrital  a desafetar,  afetar,  desconstituir  e  doar bem  de  domínio  público  para  criação, adequação  ou  ampliação  de  unidades imobiliárias  destinadas  a  Equipamentos Públicos  nas  Regiões  Administrativas 
de:  Plano  Piloto  –  RA  I,  Gama  -  RA  II, Taguatinga  -  RA  III,  Sobradinho  –  RA  V, Ceilândia  -  RA  IX,  São  Sebastião  -  RA XIV, e Recanto das Emas - RA XV. "
2026,Projeto de Lei,2221,PL 2221/2026,pendente,pendente,0,0,10,2026-03-23,"Institui o Sistema Fiscaliza Cidadão no âmbito do aplicativo e-GDF, cria instrumento de incentivo à participação social no combate aos atos lesivos à limpeza pública e dá outras providências."
2026,Projeto de Lei,2226,PL 2226/2026,aprovada_no_texto_original,aprovada,0,0,0,2026-03-23,"Abre crédito adicional à Lei Orçamentária Anual do Distrito Federal, no valor de R$ 765.253.602,00."
2026,Projeto de Lei,2234,PL 2234/2026,aprovada_no_texto_original,aprovada,0,0,0,2026-03-25,"Altera a Lei nº 5.195, de 26 de setembro de 2013, que ""dispõe sobre a carreira Planejamento e Gestão Urbana e Regional do Distrito Federal e dá outras providências""."
2026,Projeto de Lei,2235,PL 2235/2026,aprovada_com_emendas,aprovada,3,3,3,2026-03-25,"Altera a Lei nº 6.261, de 29 de janeiro de 2019, que “institui o serviço voluntário no âmbito da administração direta do Distrito Federal vinculado à Policia Civil do Distrito Federal e dá outras providências”, e dá outras providências."
2026,Projeto de Lei,2236,PL 2236/2026,aprovada_no_texto_original,aprovada,0,0,0,2026-03-25,"Altera a Lei nº 6.419, de 10 de dezembro de 2019, que ""institui o serviço voluntário dos agentes e especialistas socioeducativos integrantes da carreira Socioeducativa do Distrito Federal e dá outras providências""."
2026,Projeto de Lei,2237,PL 2237/2026,aprovada_no_texto_original,aprovada,0,0,0,2026-03-25,"Altera a Lei nº 6.374, de 12 de setembro de 2019, que ""institui o serviço voluntário vinculado à carreira Execução Penal do Distrito Federal e dá outras providências""."
2026,Projeto de Lei,2239,PL 2239/2026,aprovada_no_texto_original,aprovada,0,0,0,2026-03-25,"Altera  a  Lei  nº  5.294,  de  13  de  fevereiro de  2014,  que  ""dispõe  sobre  os Conselhos  Tutelares  do  Distrito  Federal e dá outras providências"" "
2026,Projeto de Lei,2241,PL 2241/2026,aprovada_no_texto_original,aprovada,0,0,0,2026-03-25,"Altera a Lei nº 6.333, de 17 de julho de 2019, que "" institui o serviço voluntário no âmbito da Secretaria de Estado de Segurança Pública do Distrito Federal e dá outras providências "" ."
2026,Projeto de Lei,2246,PL 2246/2026,aprovada_no_texto_original,aprovada,0,0,0,2026-03-30,"Dispõe  sobre  o  encerramento  da liquidação  e  a  extinção  da  PROFLORA S.A.  -  Florestamento  e  Reflorestamento (em  liquidação),  a  sucessão  pelo Distrito  Federal,  providências. "
2026,Projeto de Lei,2247,PL 2247/2026,pendente,pendente,0,0,2,2026-03-30,"Altera a Lei nº 7.735, de 22 de julho de 2025, que dispõe sobre as diretrizes orçamentárias para o exercício financeiro de 2026 e dá outras providências. "
2026,Projeto de Lei,2248,PL 2248/2026,aprovada_com_emendas,aprovada,6,9,10,2026-03-30,"Altera a Lei nº 4.958, de 1º de novembro de 2012, que reestrutura a carreira Gestão Fazendária do Distrito Federal e dá outras providências."
2026,Projeto de Lei,2252,PL 2252/2026,aprovada_no_texto_original,aprovada,0,0,0,2026-03-31,"Altera a Lei nº 7.735, de 22 de julho de 2025, que dispõe sobre as diretrizes orçamentárias para o exercício financeiro de 2026 e dá outras providências. "
2026,Projeto de Lei,2253,PL 2253/2026,aprovada_no_texto_original,aprovada,0,0,0,2026-03-31,"Altera a Lei nº 7.735, de 22 de julho de 2025, que dispõe sobre as diretrizes orçamentárias para o exercício financeiro de 2026 e dá outras providências."
2026,Projeto de Lei,2254,PL 2254/2026,aprovada_com_emendas,aprovada,1,2,3,2026-03-31,"Altera a Lei nº 5.326, de 3 de abril de 2014, que ""cria a Tabela de Funções Gratificadas Escolares e dá outras providências"", e dá outras providências."
